,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoline_type,price,emi_per_month,zero_downpayment,city,state
3947,Volkswagen Vento,Volkswagen,HIGHLINE PETROL ,2015,Manual,85663,2,Petrol,68099,637,Zero downpayment,Pune,Maharashtra
3948,Maruti Ertiga,Maruti,ZDI PLUS SHVS ,2019,Manual,23721,1,Diesel,26199,52,Zero downpayment,Pune,Maharashtra
3949,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2017,Manual,30249,1,Petrol,53499,537,Zero downpayment,Pune,Maharashtra
3950,Ford Ecosport,Ford,1.5 TITANIUM TI VCT ,2018,Manual,8925,1,Petrol,80999,373,Zero downpayment,Pune,Maharashtra
3951,MG HECTOR,MG,SHARP DCT PETROL ,2020,Automatic,45986,1,Petrol,72699,208,Zero downpayment,Pune,Maharashtra
3952,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2017,Manual,34763,1,Petrol,53499,537,Zero downpayment,Pune,Maharashtra
3953,Hyundai Elite i20,Hyundai,STA 1.2 ,2017,Manual,11775,1,Petrol,58899,657,Zero downpayment,Pune,Maharashtra
3954,Hyundai Elite i20,Hyundai,1.2 SPORTS PLUS VTVT ,2019,Manual,32623,1,Petrol,35399,359,Zero downpayment,Pune,Maharashtra
3955,Hyundai Eon,Hyundai,ERA PLUS ,2018,Manual,18870,3,Petrol,44499,663,Zero downpayment,Pune,Maharashtra
3956,Toyota Corolla Altis,Toyota,VL AT ,2018,Automatic,34924,1,Petrol,59599,468,Zero downpayment,Pune,Maharashtra
3957,Maruti Ciaz,Maruti,LPHA 1.3 DDIS SHVS ,2018,Manual,28637,1,Diesel,15199,358,Zero downpayment,Pune,Maharashtra
3958,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2018,Manual,32522,1,Petrol,23499,869,Zero downpayment,Pune,Maharashtra
3959,Hyundai NEW SANTRO,Hyundai,SPORTZ 1.1 ,2019,Manual,2639,1,Petrol,42399,65,Zero downpayment,Pune,Maharashtra
3960,Maruti S Cross,Maruti,LPHA SHVS ,2018,Manual,64803,1,Diesel,72399,855,Zero downpayment,Pune,Maharashtra
3961,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2018,Manual,9731,1,Petrol,9199,551,Zero downpayment,Pune,Maharashtra
